talk_id,speaker_name,affiliation,session_title,tumor_types,clinical_stage,metric,value,confidence_interval,n,population,comparator,maturity
precision-screening-opportunities-to-enhance-the-benefits-of-cancer-screening::song::3,Mingyang Song,Harvard T.H. Chan School of Public Health,precision-screening-opportunities-to-enhance-the-benefits-of-cancer-screening,colorectal cancer,mixed,age to reach benchmark 10‑year CRC risk,"44 years for highest‑risk, 56 years for lowest‑risk",,,high‑risk vs low‑risk individuals in NHS/HPFS cohorts,,secondary_endpoint
precision-screening-opportunities-to-enhance-the-benefits-of-cancer-screening::song::3,Mingyang Song,Harvard T.H. Chan School of Public Health,precision-screening-opportunities-to-enhance-the-benefits-of-cancer-screening,colorectal cancer,mixed,relative risk after negative colonoscopy,persistent risk reduction up to 20 years (RR <1),,,participants with negative colonoscopy vs no colonoscopy,,secondary_endpoint
precision-screening-opportunities-to-enhance-the-benefits-of-cancer-screening::song::3,Mingyang Song,Harvard T.H. Chan School of Public Health,precision-screening-opportunities-to-enhance-the-benefits-of-cancer-screening,colorectal cancer,mixed,surveillance compliance for high‑risk polyps,64% received surveillance; 21% adhered to recommended interval,,,MGB colonoscopy cohort with high‑risk polyps,,interim
precision-screening-opportunities-to-enhance-the-benefits-of-cancer-screening::song::3,Mingyang Song,Harvard T.H. Chan School of Public Health,precision-screening-opportunities-to-enhance-the-benefits-of-cancer-screening,colorectal cancer,mixed,polygenic risk score association with post‑colonoscopy CRC,HR ~1.5 per SD increase (p<0.001),,,colonoscoped individuals in NHS/HPFS and UK Biobank,,secondary_endpoint
precision-screening-opportunities-to-enhance-the-benefits-of-cancer-screening::song::3,Mingyang Song,Harvard T.H. Chan School of Public Health,precision-screening-opportunities-to-enhance-the-benefits-of-cancer-screening,colorectal cancer,mixed,adenoma detection rate (ADR) impact on post‑colonoscopy CRC,3‑fold higher 10‑year CRC incidence for lowest ADR quartile vs highest,,,MGB cohort with high‑risk polyps,,secondary_endpoint
presidential-address-mapping-the-molecular-landscape-of-head-and-neck-cancer-to-::siu::1,Lillian L. Siu,"Princess Margaret Cancer Centre, University of Toronto, Senior Medical Oncologist, Director of the Phase 1 Clinical Trials Program",presidential-address-mapping-the-molecular-landscape-of-head-and-neck-cancer-to-,head and neck cancer,mixed,Patients enrolled in MERIDIAN,≈50,,n≈50,locally advanced HNSCC,,interim
presidential-address-mapping-the-molecular-landscape-of-head-and-neck-cancer-to-::siu::1,Lillian L. Siu,"Princess Margaret Cancer Centre, University of Toronto, Senior Medical Oncologist, Director of the Phase 1 Clinical Trials Program",presidential-address-mapping-the-molecular-landscape-of-head-and-neck-cancer-to-,head and neck cancer,mixed,Evaluable at follow‑up point 2,42,,n=42,MERIDIAN cohort,,interim
presidential-address-mapping-the-molecular-landscape-of-head-and-neck-cancer-to-::siu::1,Lillian L. Siu,"Princess Margaret Cancer Centre, University of Toronto, Senior Medical Oncologist, Director of the Phase 1 Clinical Trials Program",presidential-address-mapping-the-molecular-landscape-of-head-and-neck-cancer-to-,head and neck cancer,mixed,ctDNA positive at follow‑up point 2,5,,n=5,MERIDIAN evaluable,,interim
presidential-address-mapping-the-molecular-landscape-of-head-and-neck-cancer-to-::siu::1,Lillian L. Siu,"Princess Margaret Cancer Centre, University of Toronto, Senior Medical Oncologist, Director of the Phase 1 Clinical Trials Program",presidential-address-mapping-the-molecular-landscape-of-head-and-neck-cancer-to-,head and neck cancer,mixed,Patients randomized to bispecific (revagostumab),1,,n=1,"MRD‑positive, PD‑L1+, no macroscopic disease",,interim
presidential-address-mapping-the-molecular-landscape-of-head-and-neck-cancer-to-::siu::1,Lillian L. Siu,"Princess Margaret Cancer Centre, University of Toronto, Senior Medical Oncologist, Director of the Phase 1 Clinical Trials Program",presidential-address-mapping-the-molecular-landscape-of-head-and-neck-cancer-to-,head and neck cancer,mixed,Disease‑free survival of bispecific‑treated patient,22 months,,n=1,"MRD‑positive, treated with revagostumab",,interim
presidential-address-mapping-the-molecular-landscape-of-head-and-neck-cancer-to-::siu::1,Lillian L. Siu,"Princess Margaret Cancer Centre, University of Toronto, Senior Medical Oncologist, Director of the Phase 1 Clinical Trials Program",presidential-address-mapping-the-molecular-landscape-of-head-and-neck-cancer-to-,head and neck cancer,mixed,Relapse‑free survival hazard ratio (MRD‑positive vs MRD‑negative),significant (HR not specified),,n=42 evaluable,MERIDIAN cohort,,interim
presidential-select-symposium-targeting-stage-0-precision-based-prevention::plon::1,Dr. Sharon Plon,"Baylor College of Medicine, Houston",presidential-select-symposium-targeting-stage-0-precision-based-prevention,retinoblastoma; pinealoblastoma; pediatric solid tumors,preclinical,cancer death reduction before age 20,8%,,,modeled newborn screening population,,exploratory
presidential-select-symposium-targeting-stage-0-precision-based-prevention::plon::1,Dr. Sharon Plon,"Baylor College of Medicine, Houston",presidential-select-symposium-targeting-stage-0-precision-based-prevention,retinoblastoma; pinealoblastoma; pediatric solid tumors,preclinical,cancer death reduction for predisposition carriers,54%,,,children with cancer predisposition syndromes,,exploratory
presidential-select-symposium-targeting-stage-0-precision-based-prevention::plon::1,Dr. Sharon Plon,"Baylor College of Medicine, Houston",presidential-select-symposium-targeting-stage-0-precision-based-prevention,retinoblastoma; pinealoblastoma; pediatric solid tumors,preclinical,pathogenic/likely pathogenic variant prevalence,6.8%,,2000,Michigan newborn blood spots,,exploratory
presidential-select-symposium-targeting-stage-0-precision-based-prevention::plon::1,Dr. Sharon Plon,"Baylor College of Medicine, Houston",presidential-select-symposium-targeting-stage-0-precision-based-prevention,retinoblastoma; pinealoblastoma; pediatric solid tumors,preclinical,estimated cancer risk for positive blood spot,"1 in 30,000",,,positive newborn screen,,exploratory
presidential-select-symposium-targeting-stage-0-precision-based-prevention::burn::2,John Burn,"Newcastle University, UK",presidential-select-symposium-targeting-stage-0-precision-based-prevention,colorectal cancer; upper GI cancer; hepatobiliary cancer; duodenal cancer; bladder cancer; prostate cancer,mixed,hazard ratio for all Lynch‑syndrome cancers (CAP3 vs historic placebo),0.67,,"≈8,000 patient‑years",CAP3 participants,historic placebo from CAP2,primary_endpoint_met
presidential-select-symposium-targeting-stage-0-precision-based-prevention::burn::2,John Burn,"Newcastle University, UK",presidential-select-symposium-targeting-stage-0-precision-based-prevention,colorectal cancer; upper GI cancer; hepatobiliary cancer; duodenal cancer; bladder cancer; prostate cancer,mixed,incidence reduction for upper GI cancers (CAP2),≈50%,,,Lynch syndrome carriers,placebo,secondary_endpoint
presidential-select-symposium-targeting-stage-0-precision-based-prevention::burn::2,John Burn,"Newcastle University, UK",presidential-select-symposium-targeting-stage-0-precision-based-prevention,colorectal cancer; upper GI cancer; hepatobiliary cancer; duodenal cancer; bladder cancer; prostate cancer,mixed,serious adverse events in 100 mg aspirin arm,0,,,CAP3 100 mg group,,interim
presidential-select-symposium-targeting-stage-0-precision-based-prevention::disis::3,Nora Disis,"University of Washington, Seattle",presidential-select-symposium-targeting-stage-0-precision-based-prevention,breast cancer; colorectal cancer; endometrial cancer; Lynch syndrome-associated cancers; obesity‑related breast cancer,mixed,grade 3 adverse event rate,8%,,45,NAUS209 trial participants,,primary_endpoint
presidential-select-symposium-targeting-stage-0-precision-based-prevention::disis::3,Nora Disis,"University of Washington, Seattle",presidential-select-symposium-targeting-stage-0-precision-based-prevention,breast cancer; colorectal cancer; endometrial cancer; Lynch syndrome-associated cancers; obesity‑related breast cancer,mixed,immune response rate to frameshift antigens,100%,,45,NAUS209 participants,,primary_endpoint
presidential-select-symposium-targeting-stage-0-precision-based-prevention::disis::3,Nora Disis,"University of Washington, Seattle",presidential-select-symposium-targeting-stage-0-precision-based-prevention,breast cancer; colorectal cancer; endometrial cancer; Lynch syndrome-associated cancers; obesity‑related breast cancer,mixed,persistence of immunity >1 year,85%,,45,NAUS209 participants,,exploratory
presidential-select-symposium-targeting-stage-0-precision-based-prevention::disis::3,Nora Disis,"University of Washington, Seattle",presidential-select-symposium-targeting-stage-0-precision-based-prevention,breast cancer; colorectal cancer; endometrial cancer; Lynch syndrome-associated cancers; obesity‑related breast cancer,mixed,pathologic complete response in HER2‑positive DCIS,≈30%,,11,DCIS vaccine cohort,,exploratory
presidential-select-symposium-targeting-stage-0-precision-based-prevention::elmore::4,Joanne Elmore,UCLA School of Medicine,presidential-select-symposium-targeting-stage-0-precision-based-prevention,breast cancer; melanoma; skin lesions,unspecified,recall rate with AI in mammography (PRISM),higher,,"40,000 accrued",screening mammograms,no AI,interim
presidential-select-symposium-targeting-stage-0-precision-based-prevention::elmore::4,Joanne Elmore,UCLA School of Medicine,presidential-select-symposium-targeting-stage-0-precision-based-prevention,breast cancer; melanoma; skin lesions,unspecified,pathologist concordance with expert consensus (skin biopsy),10% agreement,,36 pathologists,single skin biopsy case,expert reference,exploratory
programmed-cell-death-mechanisms-and-therapeutic-opportunities::strasser::1,Andreas Strasser,Walter and Eliza Hall Institute,programmed-cell-death-mechanisms-and-therapeutic-opportunities,CLL; AML; non-Hodgkin lymphoma,preclinical,survival,50% of mice survived with dual treatment,,n=??,Rag knockout mice with lymphoma,STING agonist alone or MCL-1 inhibitor alone,interim
programmed-cell-death-mechanisms-and-therapeutic-opportunities::strasser::1,Andreas Strasser,Walter and Eliza Hall Institute,programmed-cell-death-mechanisms-and-therapeutic-opportunities,CLL; AML; non-Hodgkin lymphoma,preclinical,survival,extended lifespan from 100 to 300 days,,,Cas9 transgenic mice with p53 knockout lymphoma,untreated,interim
programmed-cell-death-mechanisms-and-therapeutic-opportunities::strasser::1,Andreas Strasser,Walter and Eliza Hall Institute,programmed-cell-death-mechanisms-and-therapeutic-opportunities,CLL; AML; non-Hodgkin lymphoma,preclinical,leukemic burden reduction,1.5 log drop,,,human AML PDX treated with venetoclax + STING agonist,STING agonist alone,interim
programmed-cell-death-mechanisms-and-therapeutic-opportunities::boyes::2,Larry Boyes,University of ??? (unspecified),programmed-cell-death-mechanisms-and-therapeutic-opportunities,multiple myeloma; Waldenstrom macroglobulinemia,mixed,overall response rate,40% in t(11;14) patients vs 6% in non‑t(11;14),,n≈70,multiple myeloma patients treated with venetoclax,,primary_endpoint_met
programmed-cell-death-mechanisms-and-therapeutic-opportunities::boyes::2,Larry Boyes,University of ??? (unspecified),programmed-cell-death-mechanisms-and-therapeutic-opportunities,multiple myeloma; Waldenstrom macroglobulinemia,mixed,ex‑vivo IC50,<100 nM,,,t(11;14) myeloma samples,non‑t(11;14) samples,exploratory
programmed-cell-death-mechanisms-and-therapeutic-opportunities::boyes::2,Larry Boyes,University of ??? (unspecified),programmed-cell-death-mechanisms-and-therapeutic-opportunities,multiple myeloma; Waldenstrom macroglobulinemia,mixed,PFS,significantly longer in venetoclax‑sensitive ex‑vivo group,,,clinical trial patients,,interim
prostate-cancer-basic-to-clinical-advances::bono::2,Johan de Bono,The Royal Marsden and ICR,prostate-cancer-basic-to-clinical-advances,castration‑resistant prostate cancer,phase_1,PSA decline,≥50% decline in >30% of patients,,n=?? (not specified),heavily pre‑treated CRPC,,interim
prostate-cancer-basic-to-clinical-advances::bono::2,Johan de Bono,The Royal Marsden and ICR,prostate-cancer-basic-to-clinical-advances,castration‑resistant prostate cancer,phase_1,Objective tumor regression,radiographic regressions observed in liver and prostate lesions,,,CRPC patients receiving RIPTag,,interim
prostate-cancer-basic-to-clinical-advances::bono::2,Johan de Bono,The Royal Marsden and ICR,prostate-cancer-basic-to-clinical-advances,castration‑resistant prostate cancer,phase_1,Maximum tolerated dose,Not reached,,,CRPC cohort,,interim
prostate-cancer-basic-to-clinical-advances::bono::2,Johan de Bono,The Royal Marsden and ICR,prostate-cancer-basic-to-clinical-advances,castration‑resistant prostate cancer,phase_1,Pharmacokinetic Cmax,"dose‑dependent increase, Tmax 46 h",,,CRPC patients,,interim
prostate-cancer-basic-to-clinical-advances::beltran::3,Misha Beltran,Dana‑Farber Cancer Institute,prostate-cancer-basic-to-clinical-advances,neuroendocrine prostate cancer,phase_1_2,Overall response rate,≈50%,,n=20 evaluable patients (interim),NEPC patients in gocatumig trial,,interim
prostate-cancer-basic-to-clinical-advances::beltran::3,Misha Beltran,Dana‑Farber Cancer Institute,prostate-cancer-basic-to-clinical-advances,neuroendocrine prostate cancer,phase_1_2,Disease control rate,72%,,n=20,NEPC patients,,interim
